objectid,isbn
166713,1616619473
166715,1616619481
175945,1633440796
175946,163344080X
175949,1633440826
65244,1936011158
102680,5060156400159
102680,1589941438
110327,0786959916
110327,9780786959914
164928,1938146492
203740,5902259203346
63067,0984330909
163378,2955227315
216091,3558380044871
175950,1633440834
175951,1633440842
176267,1633440389
181306,1633441792
325555,3982184312
55150,1589946642
146566,1616615095
146567,1616615087
146568,1616615109
146569,1616616490
146570,1616616482
146571,1616616504
147622,1616616547
148977,1616618140
148978,1616618094
148979,1616618116
148980,1616618124
148981,1616618108
162290,161661837X
170959,1616619295
39953,1589944208
38506,1569052247
163642,1938146654
177354,1472805046
177354,9781472805041
238546,4005556824120
93038,1616610123
184522,0986392014
226146,0986392014
30933,8032611690211
1552,1556343035
73538,1936112159
103,1427616493
132799,0982727968
158979,1616616792
161031,161661918X
28,1556343841
859,1556343841
224483,1936920883
161226,3770000010237
1493,1569052298
126839,1616610778
25945,1589943368
164167,163344127X
164167,1616619775
142708,1616616539
117838,1936112264
35369,1929780753
182352,1938146557
61027,0979658594
75,1601251475
161216,1616618639
25087,0976914433
10991,1589941764
227,1556343329
1677,1556343329
140261,1616617160
8672,1929780168
33493,1556347782
122588,0786960175
119,1589940318
2065,0804819033
2398,1402766319
22484,1589943430
25669,1933054395
116954,1903980801
116954,4005556265633
32248,0979658527
29387,1929780664
42116,0979658578
42432,0979658586
99079,1617680893
71493,1589949005
88926,1616610107
123755,1616613777
21059,1589942841
37008,1589944615
67208,1589947142
93465,1616611332
136313,1938146808
163641,1938146808
85389,0984330917
19237,5425016922736
155362,5425016922736
40692,1446604756
40692,1446793168
40692,0130992682
172,1903980003
1927,3930635771
16992,344069027X
168679,1938146581
140953,1940169003
125678,1617681709
54475,158994691X
67051,1589945557
75857,1589949315
131816,1616615397
163641,193814662X
11168,0958275505
115,097281972X
157209,1468103598
186995,1940825903
17565,2914849605
21795,2914849583
43111,1589946510
177524,4751010195168
152230,1936920212
22348,2914849982
25821,2914849419
39856,2914849656
117985,1569052557
85905,1589949757
154638,5425016923115
4286,1589941675
11229,078694742X
107917,1907702717
141648,1616614617
141165,161661711X
121921,5902560380064
238391,5902560380064
45543,1589946499
230,1616613602
131646,1616613602
186767,1472823052
1198,096346910X
153971,1616619139
123647,1616613505
3633,0681952253
268360,1872372023
62219,1589945689
123759,1616613785
123763,1616613793
123764,1616613807
129431,1616615389
129432,1616615354
129433,1616615362
142527,161661675X
142545,1616617047
142546,1616616768
142547,1616616776
148259,1616618035
154766,1616617713
154767,1616617721
154769,1616617748
1042,1631402897
23107,1589943198
161032,1616619171
164165,1616619384
164166,1616619392
164168,1616619406
1262,0786939761
22545,0979526205
4095,1556346638
10686,1556347243
22948,1556347561
22948,3937826793
25071,155634760X
25071,3939794023
29568,1556347685
30166,1556347693
31920,1556347839
22825,1589943317
138170,1616613882
20906,0976835118
20907,097683510X
19400,1589942752
169254,1633440850
1681,0912515589
35964,0966347676
35964,096634765X
149119,0966347676
149119,096634765X
40924,1616611936
43508,1616611979
129430,1616615370
146766,1616617691
154768,161661773X
156770,1616619112
176742,1633440699
124693,1616614838
95619,1589949544
99815,1589949323
152318,1616617101
171881,2914849974
167889,1633440249
39775,1589946464
157958,161661739X
66171,1589949528
9446,1589941365
36367,1616611642
101786,1616611642
244733,8054181512953
166894,1616619597
204305,2370990023
204305,2370990031
144006,1907964657
11,1892081547
17226,0786916141
17226,1589942736
30645,0615637507
133654,1616613823
145363,1616617403
39463,1589243242
40529,1589243242
938,3473670820
2453,0786918357
3655,1889055212
5432,0746052685
203759,1617685704
139443,B00E5QL2AC
33643,3473677086
94963,1616611146
120965,1616613750
143789,1631401688
4505,1572810173
158803,1616619317
76638,1589948637
181852,1633441822
136147,1616615982
139596,1616617020
152314,1616618566
156112,1616618809
164314,163344001X
41459,1589949870
41459,158994478X
153900,1616617934
202459,5902560380347
175285,1633441210
171479,069239530X
339,0963469150
122159,193611237X
181523,0620715057
108327,1616612223
118303,1616614080
95969,1589949595
268740,8054181513462
194523,3558380039242
27823,0979226104
101921,1616611707
124640,1616612088
150915,161661482X
34887,1556347936
9825,1929780486
143827,1616617055
60131,1616612347
70845,0786953845
29311,1589943686
203102,1589934709
250754,1938146247
169019,1616619996
6608,1589941020
177725,1472813960
125675,0857441507
83266,1589947169
87776,1589949897
241380,1785819542
198507,1936920581
3085,0824968311721
197097,8894445585
17804,0786939443
92044,0786958499
155464,1617683450
169017,161661997X
191231,3558380036371
10997,0972819770
129976,1616615885
12891,4250231700156
29678,1556347677
29678,9781556347672
2603,1582366853
11229,0786943653
32674,1933362308
173047,0986392006
175314,6425453000232
5718,1600820026
2860,0761185151
42892,1594721149
127398,1616615877
36345,1929780699
36345,1936112159
7479,1589941683
29308,158994383X
173275,1617684619
251660,0999428861
41457,1589949854
63196,0786954787
111807,1907702458
263744,1472835174
1915,1558062580
68425,0984155856
12896,2912994160
169274,193692045X
153749,3558380021933
102690,0977975630
63912,1589947290
177496,9420020229099
177497,9420020229105
106,1572810912
17329,1141018020
189313,1633441857
76621,1589948653
80322,1589948661
87867,1589949900
89190,1589949919
90337,1589949927
95568,1589949943
100243,1616611383
100244,1589947355
105132,1616611405
105133,1616611391
107732,1616611413
110251,1616611421
120177,1616613483
147711,1616617756
166895,1633440672
122599,1616617632
243780,098639209X
