gameid,url,price,currency,enabled,show_from
194594,https://jandjgamingfactory.com/products/dice-forge?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,42.55,USD,1,1
253664,https://jandjgamingfactory.com/products/taco-cat-goat-cheese-pizza?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,7.6,USD,0,1
221965,https://jandjgamingfactory.com/products/the-fox-in-the-forest?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,12.15,USD,0,1
288513,https://jandjgamingfactory.com/products/tranquility?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,10.44,USD,0,1
363183,https://jandjgamingfactory.com/products/tokaido-duo?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,18.99,USD,0,1
397598,https://jandjgamingfactory.com/products/dune-imperium-uprising-expansion?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,45.6,USD,0,1
385318,https://jandjgamingfactory.com/products/cascadia-landmarks?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,26.59,USD,1,1
350184,https://jandjgamingfactory.com/products/earth?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,37.99,USD,1,1
390094,https://jandjgamingfactory.com/products/ftw?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,10.75,USD,0,1
366013,https://jandjgamingfactory.com/products/heat-pedal-to-the-metal?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,56.99,USD,1,1
192547,https://jandjgamingfactory.com/products/go-cuckoo?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,15.19,USD,1,1
383109,https://jandjgamingfactory.com/products/dragonkeepers?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,21.24,USD,1,1
312859,https://jandjgamingfactory.com/products/townsfolk-tussle-used?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,237.5,USD,0,1
83330,https://jandjgamingfactory.com/products/mansions-of-madness-1st-edition?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,118.75,USD,0,1
356768,https://jandjgamingfactory.com/products/bloc-by-bloc-uprising?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,95,USD,0,1
312484,https://jandjgamingfactory.com/products/lost-ruins-of-arnak?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,45.56,USD,1,1
263695,https://jandjgamingfactory.com/products/sagrada-passion-expansion?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,15.16,USD,1,1
301561,https://jandjgamingfactory.com/products/sagrada-the-great-facades-life?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,15.16,USD,1,1
359142,https://jandjgamingfactory.com/products/sagrada-the-great-facades-glory?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,15.16,USD,1,1
