objectid,mfgid
44444,WW2064
44444,"FS 4111"
44444,LF1313
44446,K&C5002
44446,K&C5000
44446,K&C5003
44447,CB75407
44450,MICHODJDICWW0184
44450,WW55100
44451,MICHODJDICWW0189
44451,WW25201
44452,"MOG 1301"
44453,BOX0011
44453,IPRBN2
44455,FS4507
44455,LF1321
44455,WW2351
44458,BAS1002
44460,51448
44462,2114
44463,WW2352
44463,"FS 4509"
44464,WW2353
44464,"FS 4508"
44465,"FS 4506"
44465,WW2354
44466,MICHODJDICWW0190
44466,WW30202
44467,WW2356
44467,"FS 4510"
44468,MICHODJDICWW0194`
44468,WW30305
44468,MICHODJDICWW0194
44469,WW2357
44469,"FS 4511"
44470,WW2358
44470,"FS 4512"
44471,WW2359
44471,"FS 4513"
44471,WW2369
44473,WW2361
44473,"FS 4514"
44474,WW55555
44475,2802
44476,"FS 4518"
44476,WW2362
44477,"FS 4517"
44477,WW2363
44478,WW2364
44478,"FS 4516"
44479,8094
44479,WW2360
44479,"FS 4515"
44480,MICHODJDICWW0243
44480,WW55303
44481,"MFG 668"
44481,650
44481,668
44482,WW55703
44483,WW2055
44483,"WW 2055"
44485,800
44485,800HC30
44485,8000
44486,WW2090
44487,WW2091
44487,"FS 4312"
44488,WW2096
44490,WW2097
44491,WW2098
44492,WW2100
44493,DP9-01
44494,"F&S 4505"
44494,WW2101
44494,VAWODLJDIOWW0438
44494,"FS 4505"
44502,MGP1005
44502,"MGP 1005"
44503,"MGP 1004"
44504,"MGP 1003"
44504,MGP1003
44505,MGP1008
44506,"MGP 1009"
44507,40137
44508,40147
44510,"MFG 669"
44510,669
44510,655
44511,OWC1001
44512,40151
44513,40067
44514,WW2102
44514,"WW 2102"
44514,DAS2001
44515,WW55560
44516,40129
44517,WW2103
44518,WW2104
44519,WW55550
44520,WW2105
44522,40136
44523,WW2106
44523,"FS 4519"
44524,WW2201
44525,WW2203
44525,LF1402
44526,WW55556
44527,WW2204
44528,WW55557
44529,"WW 2205"
44530,WW55554
44531,WW55552
44533,WW2207
44534,WW2209
44535,WW2210
44535,LF1406
44536,WW2210
44536,WW2211
44537,WW2214
44537,"F&S 4003"
44538,WW2216
44539,OWC2001
44540,LF1003
44540,VAWODLJDIOWW0446
44540,"F&S 4100"
44540,WW2206
44540,FS4100
44540,"WW 2206"
44541,WW2212
44543,WW75012
44544,2147G
44544,2147F
44544,2147
44545,WTC11964
44545,620T11964002EN
44546,2136G
44546,2136
44547,WW75001
44548,WW75000
44549,"TSR 2131"
44549,2131
44549,2131G
44551,WW75002
44552,WW2222
44552,"WW 2222"
44553,800HC
44554,WW75008
44555,"WW 2225"
44555,WW2225
44556,801
44557,812
44559,WW2230
44559,"WW 2230"
44560,828
44561,WW2231
44562,802
44563,WW2233
44564,"PAL 804"
44566,WW2234
44568,WW2235
44568,"WW 2235"
44569,WW2236
44569,"WW 2236"
44571,DTRS0100
44572,WW2250
44575,WW2265
44575,FS4521
44578,"F&S 4501"
44578,WW2301
44579,"FS 4502"
44579,LF1053
44579,WW2302
44580,"FS 4503"
44580,WW2303
44582,"F&S 4520"
44582,LF1057
44582,WW2304
44582,WW02294
44583,NAR004
44583,US76000
44584,2127
44584,"TSR 2127"
44586,2111
44586,112
44586,2111G
44587,WW70000
44588,WW70300
44590,WWP70200
44590,WW70200
44590,CHCHODJDICWW0275
44591,WW2305
44593,858
44594,WW2409
44595,WW2410
44596,WW70201
44597,VAWODLJDIOWW0413
44597,WW2411
44597,LF1410
44598,WW2412
44598,LF1412
44599,WW70203
44600,WW2420
44602,WW2421
44603,WW70207
44604,WW70202
44605,WW2422
44606,WW70205
44607,WW2423
44608,WW70701
44610,WWP70702
44611,670
44611,"MFG 670"
44612,WW2424
44612,"FS 4522"
44613,WW2425
44615,WW2426
44616,WW2427
44617,DD1037
44617,177290000
44617,FS30008
44618,WW2428
44619,"MFG 658"
44619,658
44620,WW2429
44621,GR01
44622,654
44623,HR02
44624,662
44624,"MFG 662"
44625,WW2430
44626,WW2431
44626,"FS 4524"
44628,653
44628,"MFG 653"
44629,WW2432
44631,WW2440
44631,FS4800
44632,DOG3
44633,00651
44633,651
44634,WW2441
44636,FS30005
44636,955647200
44638,LF20001
44638,003400
44638,WW30000
44639,ATR01
44639,ART01
44640,953857200
44641,GWG0101
44641,GWG0111
44645,WW30303
44647,DD1035
44647,179250000
44647,FS30007
44649,03-001
44649,2001
44652,WW30301
44655,4001-E
44655,4001L
44655,4001
44656,FB01
44657,4001
44658,2005
44663,WW50000
44663,MICHODHDICWW0118
44665,WW50001
44665,VAMIETHDICWW1740
44666,4301
44667,4401
44668,FS30006
44668,880360000
44669,ASM030
44669,ASM-030
44670,DF03
44671,881590000
44672,1000
44675,ARC3002
44676,ARC3000
44676,CB75408
44677,953847200
44680,953677200
44684,957257200
44687,"AEG 8550"
44689,"AEG 8551"
44692,"AEG 8552"
44694,"AEG 8553"
44695,ARC3001E
44695,ARC3001
44696,CB7701
44699,"AEG 8554"
44700,PIGGDI2
44701,"AEG 8555"
44702,"AEG 8556"
44703,"AEG 8557"
44704,"AEG 8558"
44706,"AEG 8559"
44707,GRR2514e
44707,GRR2514
44708,GRR2518
44709,"AEG 8560"
44710,ANV1001
44711,GRR2519e
44712,RGG1000
44713,MGP1011
44717,RGG1776
44719,RGG1720
44720,"RGG 1710"
44721,CTD-006
44722,"RGG 1804"
44722,RGG1750PDF
44723,20507
44723,"WEG 20507"
44724,RGG1740PDF
44726,20560
44727,20565
44728,20573
44729,"CB7 5200"
44729,MGPCB75200
44730,20513
44732,2801
44732,NMPVA01
44733,SMG07
44734,"SMG 08"
44735,2201
44736,2202
44738,20570
44738,WEG20570
44739,20510
44740,20553
44741,20552
44742,20569
44743,20501
44744,23965
44744,TSR23965
44744,239657200
44744,62010
44746,2012
44748,40209
44749,03-303
44749,2006
44750,2010
44751,2015
44752,2011
44753,MFG0664
44753,"MFG 664"
44754,40118
44755,1190-652MFG
44755,"MFG 652"
44756,"MFG 657"
44758,AEG8200
44759,40121
44760,40112
44761,5006
44762,5004
44763,DF01
44764,40130
44765,40152
44767,DF02
44770,RGG1020
44771,FRCAD01
44771,UKCAD01
44771,ESCAD01
44772,"LUG 45000"
44773,"LUG 25000"
44774,DSK001
44775,DSK006
44775,DSS006
44776,DSK002
44777,DSK005
44778,EDG2701
44778,GRR2701
44778,EDG2708
44779,GRR2702
44779,EDG2702
44779,GRR2702e
44780,GRR2703
44780,GRR2703e
44780,EDG2703
44781,DD1028
44781,176640000
44781,FS30005
44782,WW08346
44783,WWP16117
44784,LF30001
44784,WW40000
44785,"FS 4114"
44785,LF1881
44785,WW2817
44786,5003
44787,GRR2508e
44787,GRR2508
44787,GRR2529
44788,5005
44789,5007
44790,5008
44792,5010
44793,5011
44795,5012
44796,5013
44797,5101
44799,5201
44800,2101A1
44801,2801
44803,6000
44804,WW60000
44804,PRCHODHDICWW0150
44806,CGE1001
44806,CGE1002
44807,WW60101
44807,PRCHODJDICWW0116
44808,SBGJSS001
44809,1203
44810,ASM-010
44811,WW60300
44811,PRCHODJDICWW0146
44813,PRCHODJDICWW0180
44813,WW60301
44816,PRCHODJDICWW0199
44816,WW60100
44817,WW60700
44819,EHP7001E
44820,6510
44820,30-6510
44823,9116
44824,01703
44824,"WW 2803"
44824,LF1841-1997
44825,SZ1013
44825,1004
44826,1019
44827,FGS2101
44829,FGS1001
44830,FGS1005
44831,FGS1003
44832,FGS1002
44833,FGS1007
44834,FGS1011
44835,FGS1010
44836,FGS1006
44837,S2P10000PDF
44837,"S2P 10000"
44838,ARC2006
44847,"TSR 9244"
44847,953837200
44848,11319
44849,1022
44850,1027
44850,"PEG 1027"
44851,1018
44851,"PEG 1018"
44852,WW25312
44853,5001
44854,WW25311
44855,5001
44856,5091
44857,5092
44858,WW25111
44860,3101
44860,"TSR 3101"
44860,TSR3101
44861,4001
44862,4501
44865,WW16140
44867,881900000
44867,D20-001
44868,1205
44868,"SJG01995 1205"
44870,"F&S 20500"
44870,KYP1000
44871,WotC881570000
44871,881570001
44873,WOC3601
44874,881720000
44874,D20-002
44874,WotC881720000
44875,1503
44877,RG3302
44878,GRR1504
44879,2015
44880,2002pdf
44880,MHG20016
44880,2002
44881,RG3101
44882,3100
44882,"TSR 3100"
44883,WW4800
44883,"WW 4800"
44884,7010
44884,"TSR 7010"
44885,SW005
44885,88662
44887,7005
44889,7701
44894,MAWODLJDIOWW0934
44894,WW4805
44894,"WW 4805"
44895,TSR11616
44896,WW25104
44897,WW25102
44897,LF10005
44898,60040283002
44899,WH0X
44899,60040283004
44900,8890
44900,WW25103
44901,EDG5500
