objectid,mfgid
166463,FBA_ZMG70266
166463,ZMG70266
169464,8TH0018
1275,na
1275,H-23
63868,CPS-1026
180680,5830AEG
681,GCQA-MLV
5867,OBG1012
5867,1012
9804,3321
9804,COL3321
34871,FFGST07
34871,ST07
36986,LLPATZ
43365,61171
56320,00004
163175,0033-0615GNE
187687,PZO6030
136362,GOT95
244212,MBGB1100
42910,Irongames
189351,GIO00041
61487,GMT140217
231506,FRG00009
316597,49383
135382,27700CAT
159504,FL31GNE
159504,GNEFL011STE
198994,WWG500
207830,692889
226501,CAT16000
234669,ORA01
241451,IBG0AEL1
180241,60010299006
242892,60040299064
263736,73140
263736,WZK73140
139976,CW
139976,PETCTHU01
125311,SJ-056
125311,00810
263996,3460SJG
263996,SJG03460
230933,20031
14258,831112000417
66190,QNG09022
66190,9022
207292,IEL51350
250532,IEL51351
133038,PAI6000
6555,1
15987,VA09
217372,26754
49276,139077
145203,PROS01ASM
220367,L99-EMP01
276386,2008
281655,81388
299960,ESG50150ENPBG
299960,PBGESG50150EN
311193,680428
72287,MJA04
72287,MRJ03
66781,LLP1200001
427,FBA_689340000019
427,EUG205
4862,1
4862,44269
25234,MFG3202
33261,RIO356
33261,356RGG
179385,450
179385,450R
182385,GEG1003
258466,ZA001
258466,ZMGZA001
128271,ZMG71200
281075,BCGWTNLV1000
189052,IEL51293
161936,PandemicB
161936,ZM7170
38796,9781589945036
38796,SC02
38862,3760146641518
39856,200706
39856,5511302
118,unknown
40381,unknown
199,338
199,338RGG
145393,VPGGRBOX
158915,PEX1003
9829,VA05
21523,VA05
163354,5819AEG
39206,4298
134157,1020TTT
205507,400234
126443,803004832000
85204,MGKW05
287589,MDGSKS-0314
24491,203VLY
37935,201A
37935,VLY0201A
38364,男の子向き
38364,205VLY
45986,VLY403
45986,403VLY
102061,VLY4031
102061,4031VLY
102260,PSIVLY4032
102260,4032VLY
227789,ESG50010EN
156336,49000ZMG
156336,ZM4900
181176,GRN002
34707,"RGG 362"
70149,ZMG7092
70149,"ZMG 7092"
71671,7075
71671,"ZMG 7075"
81640,ELFPG0001
98443,unknown
145588,TTT2018
172547,20021QNG
172547,Q20021
193558,2015TTT
257066,BND0042
289802,236163
13081,VA10
106999,0013
197909,87298
228603,350
231639,BFG005
247236,PAN7191
247236,PAN201805
249792,REO09101
249792,REO9101
157001,5812AEG
181817,EH05
220792,72927
172081,2TBB01
41,GRY56619
41,101056N
129437,UDC80366
129437,80366
140519,"MCX 5901"
158275,"WZK 71658"
316554,DUNE_IMPERIUM
316554,DWD01000
274960,ALD07059
246783,62072
246783,83067
126026,DV1-037
234671,ZM7122
287322,4400
1491,2003SG
163027,EAG01467
173341,B2354
181173,71471ZMG
181173,ZM7471
35570,"JKL 0254"
22938,6020
22938,4102634
202670,72002ASM
202670,DO7226
85405,IMPSOE1100
85405,SOE1100
162890,IBG0RE03
174090,DIX08USASM
174090,DIX08
258210,BLZ001
35524,TYV77006
35524,TV77006
155987,ABY01USASM
155987,ABY01
176334,GA005
760,"GMT 0012"
24417,ZMG7064
24417,"ZMG 7064"
183284,ZMG7064
183284,"ZMG 7064"
96778,MATSCYC2
35477,0907
76546,WGG01215
158815,68932
67928,"GST SIR PS03"
123607,"GST SIR PS03"
3353,GMT020806
1133,7600
267652,DNCG01-CG
272738,60001818
272738,B07QRNBFX7
58281,PHGSWMS
58281,SWMSPHG
93260,PHGSWMS
93260,SWMSPHG
472,VA72
71061,VA72
253925,ST023BFM
253925,GF9ST023
253652,CPS1097
178900,CGE00031
1419,0-45802-52140-7
1419,5214
2397,2014-12
20022,7003
26235,0681706040455
26235,4045
163839,ODD100
54137,878700
96704,ASNFE01
96704,Fealty
109969,BEZMUTM
118402,FBA_QNG60913F
118402,060913ASMQ
149853,TWK1000
216974,GRL3128
66121,RGG416
269725,DO8801
269725,DOW8801
